(-121.9071, 37.43144)
(-121.90745, 37.4313)
(-121.90758, 37.43124)
(-121.90763, 37.43122)
(-121.90769, 37.43119)
(-121.90775, 37.43116)
(-121.90783, 37.43112)
(-121.9079, 37.43108)
(-121.90797, 37.43103)
(-121.9081, 37.43095)
(-121.90815, 37.43092)
(-121.90823, 37.43087)
(-121.9085, 37.43066)
(-121.90897, 37.43031)
(-121.90922, 37.43011)
(-121.90932, 37.43004)
(-121.90944, 37.42994)
(-121.90948, 37.42991)
(-121.90955, 37.42985)
(-121.90961, 37.42979)
(-121.90966, 37.42973)
(-121.90972, 37.42967)
(-121.90976, 37.42962)
(-121.9098, 37.42956)
(-121.90987, 37.42944)
(-121.9099, 37.4294)
(-121.90992, 37.42935)
(-121.90996, 37.42927)
(-121.90998, 37.42922)
(-121.90999, 37.42916)
(-121.91003, 37.42903)
(-121.91013, 37.42857)
(-121.9102, 37.42825)
(-121.91024, 37.42815)
(-121.91029, 37.42803)
(-121.91038, 37.42787)
(-121.9105, 37.4277)
(-121.91056, 37.42763)
(-121.91071, 37.4275)
(-121.91079, 37.42744)
(-121.91088, 37.42737)
(-121.91093, 37.42734)
(-121.91098, 37.42731)
(-121.91103, 37.42728)
(-121.91108, 37.42726)
(-121.91113, 37.42724)
(-121.9112, 37.4272)
(-121.91127, 37.42718)
(-121.91139, 37.42714)
(-121.91157, 37.42709)
(-121.91262, 37.42682)
(-121.91305, 37.42673)
(-121.91396, 37.42649)
(-121.9142, 37.42642)
(-121.91427, 37.4264)
(-121.91448, 37.42633)
(-121.91452, 37.42631)
(-121.91489, 37.42619)
(-121.91534, 37.42606)
(-121.91593, 37.4259)
(-121.91627, 37.4258)
(-121.91628, 37.4258)
(-121.91636, 37.42578)
(-121.9164, 37.42577)
(-121.91642, 37.42576)
(-121.91661, 37.42571)
(-121.91679, 37.42566)
(-121.91683, 37.42565)
(-121.91721, 37.42554)
(-121.91743, 37.42547)
(-121.91795, 37.42533)
(-121.91804, 37.42531)
(-121.9181, 37.42529)
(-121.91817, 37.42527)
(-121.91826, 37.42524)
(-121.91851, 37.4252)
(-121.91883, 37.42513)
(-121.91919, 37.42506)
(-121.91944, 37.425)
(-121.91952, 37.42498)
(-121.91987, 37.42489)
(-121.91995, 37.42487)
(-121.92016, 37.42481)
(-121.92043, 37.42473)
(-121.92059, 37.42468)
(-121.92076, 37.42463)
(-121.92091, 37.42457)
(-121.92119, 37.42444)
(-121.92129, 37.4244)
(-121.92159, 37.42426)
(-121.92179, 37.42417)
(-121.9221, 37.42404)
(-121.92304, 37.42372)
(-121.92356, 37.42353)
(-121.924, 37.42338)
(-121.92418, 37.42329)
(-121.92434, 37.42319)
(-121.92463, 37.42312)
(-121.9248, 37.42307)
(-121.92506, 37.42301)
(-121.92531, 37.42295)
(-121.92553, 37.4229)
(-121.92588, 37.42283)
(-121.9262, 37.4228)
(-121.92667, 37.42275)
(-121.92698, 37.42273)
(-121.92729, 37.4227)
(-121.92742, 37.42268)
(-121.92755, 37.42268)
(-121.92767, 37.42267)
(-121.92852, 37.42259)
(-121.92921, 37.42253)
(-121.9298, 37.42247)
(-121.93038, 37.42239)
(-121.93094, 37.42231)
(-121.9313, 37.42225)
(-121.93197, 37.42214)
(-121.93249, 37.42204)
(-121.93263, 37.42202)
(-121.93302, 37.42195)
(-121.93355, 37.42183)
(-121.93469, 37.42157)
(-121.93528, 37.42141)
(-121.9357, 37.42131)
(-121.93641, 37.42115)
(-121.93674, 37.42107)
(-121.93694, 37.42103)
(-121.93879, 37.4206)
(-121.93935, 37.42047)
(-121.93979, 37.42037)
(-121.94001, 37.42032)
(-121.94026, 37.42026)
(-121.94095, 37.42011)
(-121.94154, 37.41997)
(-121.94211, 37.41984)
(-121.94267, 37.41971)
(-121.94317, 37.4196)
(-121.94335, 37.41956)
(-121.9435, 37.41953)
(-121.94367, 37.4195)
(-121.94382, 37.41948)
(-121.94397, 37.41947)
(-121.94415, 37.41945)
(-121.94422, 37.41945)
(-121.94435, 37.41944)
(-121.9454, 37.41944)
(-121.94635, 37.41944)
(-121.9475, 37.41944)
(-121.94915, 37.41945)
(-121.94954, 37.41945)
(-121.95488, 37.41946)
(-121.95597, 37.41946)
(-121.95619, 37.41946)
(-121.95655, 37.41946)
(-121.95679, 37.41945)
(-121.95729, 37.41944)
(-121.95748, 37.41944)
(-121.95765, 37.41944)
(-121.959, 37.41936)
(-121.95946, 37.41934)
(-121.95982, 37.41932)
(-121.96055, 37.41928)
(-121.96108, 37.41926)
(-121.96192, 37.41922)
(-121.96279, 37.41919)
(-121.96388, 37.41916)
(-121.96417, 37.41916)
(-121.96495, 37.41913)
(-121.96561, 37.41911)
(-121.96579, 37.41911)
(-121.9668, 37.41907)
(-121.9673, 37.41905)
(-121.96753, 37.41904)
(-121.96781, 37.41903)
(-121.96813, 37.41902)
(-121.96838, 37.41901)
(-121.96839, 37.41901)
(-121.96846, 37.41901)
(-121.96856, 37.41901)
(-121.96873, 37.419)
(-121.96895, 37.41898)
(-121.96912, 37.41897)
(-121.96934, 37.41894)
(-121.96961, 37.41891)
(-121.96977, 37.41888)
(-121.97002, 37.41884)
(-121.9702, 37.4188)
(-121.97058, 37.41872)
(-121.97087, 37.41862)
(-121.97111, 37.41855)
(-121.97128, 37.4185)
(-121.97143, 37.41845)
(-121.97159, 37.4184)
(-121.97174, 37.41834)
(-121.9719, 37.41828)
(-121.97199, 37.41824)
(-121.97222, 37.41814)
(-121.97239, 37.41807)
(-121.97255, 37.418)
(-121.97272, 37.41793)
(-121.97285, 37.41788)
(-121.97296, 37.41783)
(-121.97301, 37.41781)
(-121.97313, 37.41775)
(-121.97327, 37.4177)
(-121.97341, 37.41764)
(-121.97354, 37.41759)
(-121.97367, 37.41753)
(-121.97406, 37.41736)
(-121.97448, 37.41719)
(-121.97505, 37.41695)
(-121.97564, 37.4167)
(-121.9758, 37.41663)
(-121.97617, 37.41647)
(-121.97628, 37.41643)
(-121.97634, 37.4164)
(-121.97646, 37.41636)
(-121.97648, 37.41634)
(-121.97658, 37.4163)
(-121.97668, 37.41626)
(-121.97689, 37.41617)
(-121.97702, 37.41611)
(-121.97716, 37.41606)
(-121.97734, 37.41598)
(-121.97757, 37.41588)
(-121.97784, 37.41576)
(-121.97944, 37.41508)
(-121.97981, 37.41493)
(-121.98001, 37.41485)
(-121.98019, 37.41477)
(-121.98036, 37.4147)
(-121.98053, 37.41463)
(-121.98064, 37.41458)
(-121.98086, 37.41449)
(-121.98099, 37.41444)
(-121.98133, 37.41429)
(-121.98148, 37.41423)
(-121.98164, 37.41416)
(-121.98182, 37.41408)
(-121.98186, 37.41407)
(-121.982, 37.41401)
(-121.98217, 37.41394)
(-121.98266, 37.41373)
(-121.98333, 37.41345)
(-121.98518, 37.41267)
(-121.98552, 37.41253)
(-121.98572, 37.41245)
(-121.98586, 37.41239)
(-121.98601, 37.41234)
(-121.98617, 37.41228)
(-121.98632, 37.41223)
(-121.9864, 37.4122)
(-121.9865, 37.41217)
(-121.9868, 37.41208)
(-121.987, 37.41201)
(-121.98772, 37.4118)
(-121.98793, 37.41174)
(-121.98829, 37.41164)
(-121.98867, 37.41154)
(-121.98887, 37.41149)
(-121.98905, 37.41144)
(-121.98921, 37.4114)
(-121.98955, 37.41132)
(-121.98998, 37.41122)
(-121.99015, 37.41118)
(-121.99055, 37.41109)
(-121.9914, 37.41091)
(-121.99188, 37.41081)
(-121.99227, 37.41072)
(-121.99261, 37.41065)
(-121.99324, 37.41051)
(-121.99589, 37.40994)
(-121.99629, 37.40985)
(-121.99789, 37.4095)
(-121.99821, 37.40943)
(-121.99845, 37.40938)
(-121.99941, 37.40917)
(-122.00037, 37.40896)
(-122.00093, 37.40884)
(-122.00331, 37.40832)
(-122.00371, 37.40823)
(-122.0056, 37.40783)
(-122.00613, 37.40771)
(-122.00667, 37.40759)
(-122.00722, 37.40747)
(-122.00846, 37.40718)
(-122.00989, 37.40686)
(-122.01025, 37.40678)
(-122.01135, 37.40653)
(-122.01217, 37.40634)
(-122.01248, 37.40629)
(-122.01362, 37.40602)
(-122.01374, 37.40599)
(-122.01508, 37.40567)
(-122.0153, 37.40561)
(-122.01613, 37.40542)
(-122.01733, 37.40515)
(-122.01747, 37.40513)
(-122.01841, 37.40491)
(-122.01864, 37.40486)
(-122.01925, 37.40472)
(-122.02051, 37.40443)
(-122.02131, 37.40425)
(-122.02206, 37.40408)
(-122.02216, 37.40405)
(-122.02222, 37.40403)
(-122.02232, 37.40401)
(-122.02245, 37.40398)
(-122.02261, 37.40394)
(-122.02291, 37.40388)
(-122.02333, 37.4038)
(-122.0236, 37.40375)
(-122.02368, 37.40374)
(-122.02515, 37.40351)
(-122.02529, 37.40348)
(-122.02604, 37.40336)
(-122.02646, 37.40329)
(-122.02675, 37.40323)
(-122.02705, 37.40317)
(-122.02744, 37.40308)
(-122.02769, 37.40302)
(-122.02792, 37.40297)
(-122.02898, 37.4027)
(-122.02913, 37.40266)
(-122.02943, 37.40259)
(-122.02967, 37.40253)
(-122.02998, 37.40245)
(-122.03018, 37.4024)
(-122.03085, 37.40223)
(-122.03087, 37.40222)
(-122.0315, 37.40207)
(-122.03162, 37.40206)
(-122.03166, 37.40206)
(-122.03169, 37.40205)
(-122.03175, 37.40205)
(-122.03181, 37.40204)
(-122.03185, 37.40203)
(-122.03192, 37.40201)
(-122.03203, 37.40199)
(-122.03233, 37.40194)
(-122.03266, 37.40188)
(-122.03309, 37.40181)
(-122.03325, 37.40178)
(-122.03333, 37.40177)
(-122.0334, 37.40176)
(-122.03346, 37.40175)
(-122.03351, 37.40175)
(-122.03354, 37.40175)
(-122.03358, 37.40175)
(-122.03362, 37.40175)
(-122.03367, 37.40175)
(-122.03371, 37.40175)
(-122.03379, 37.40175)
(-122.03384, 37.40176)
(-122.03391, 37.40176)
(-122.03395, 37.40177)
(-122.03399, 37.40178)
(-122.03405, 37.40179)
(-122.03413, 37.40181)
(-122.03421, 37.40182)
(-122.03455, 37.4019)
(-122.03472, 37.40193)
(-122.03484, 37.40196)
(-122.03493, 37.40197)
(-122.03502, 37.40198)
(-122.03512, 37.40199)
(-122.03522, 37.40199)
(-122.03535, 37.40199)
(-122.03545, 37.40198)
(-122.03554, 37.40197)
(-122.03562, 37.40195)
(-122.03576, 37.40194)
(-122.03583, 37.40192)
(-122.0359, 37.4019)
(-122.03597, 37.40187)
(-122.03603, 37.40185)
(-122.03611, 37.40182)
(-122.03619, 37.40178)
(-122.03628, 37.40173)
(-122.03649, 37.40162)
(-122.0365, 37.40162)
(-122.0367, 37.40152)
(-122.03681, 37.40147)
(-122.0369, 37.40142)
(-122.03699, 37.40139)
(-122.03706, 37.40137)
(-122.03713, 37.40136)
(-122.03719, 37.40135)
(-122.03725, 37.40134)
(-122.03732, 37.40133)
(-122.0374, 37.40133)
(-122.03748, 37.40133)
(-122.03755, 37.40133)
(-122.03763, 37.40133)
(-122.03769, 37.40134)
(-122.03774, 37.40135)
(-122.0383, 37.40145)
(-122.03831, 37.40145)
(-122.03832, 37.40145)
(-122.03867, 37.40143)
(-122.03907, 37.40152)
(-122.03942, 37.40159)
(-122.03953, 37.40162)
(-122.04023, 37.40176)
(-122.0405, 37.40183)
(-122.04134, 37.40201)
(-122.04147, 37.40204)
(-122.04343, 37.40247)
(-122.0445, 37.4027)
(-122.04523, 37.40286)
(-122.04671, 37.40318)
(-122.04725, 37.40331)
(-122.04741, 37.40334)
(-122.04753, 37.40336)
(-122.04771, 37.4034)
(-122.04793, 37.40345)
(-122.04836, 37.40355)
(-122.04992, 37.40389)
(-122.05011, 37.40393)
(-122.05084, 37.4041)
(-122.05128, 37.40421)
(-122.05171, 37.40431)
(-122.05222, 37.40444)
(-122.05247, 37.40451)
(-122.05253, 37.40453)
(-122.05268, 37.40457)
(-122.05335, 37.40476)
(-122.05375, 37.40487)
(-122.05396, 37.40493)
(-122.05439, 37.40505)
(-122.05479, 37.40516)
(-122.05516, 37.40526)
(-122.05564, 37.40538)
(-122.05587, 37.40543)
(-122.05602, 37.40548)
(-122.05633, 37.40555)
(-122.05712, 37.40573)
(-122.05764, 37.40584)
(-122.05765, 37.40584)
(-122.05852, 37.40603)
(-122.06008, 37.40637)
(-122.06117, 37.40661)
(-122.06202, 37.40679)
(-122.06271, 37.40695)
(-122.06335, 37.40709)
(-122.06474, 37.40739)
(-122.0655, 37.40756)
(-122.06592, 37.40765)
(-122.06613, 37.40769)
(-122.0663, 37.40773)
(-122.06651, 37.40779)
(-122.067, 37.40789)
(-122.06753, 37.40801)
(-122.0678, 37.40809)
(-122.068, 37.40814)
(-122.06817, 37.40819)
(-122.06852, 37.40831)
(-122.06865, 37.40835)
(-122.06899, 37.40847)
(-122.06912, 37.40852)
(-122.06932, 37.40861)
(-122.06955, 37.40869)
(-122.06964, 37.40872)
(-122.0698, 37.40879)
(-122.06981, 37.40879)
(-122.06985, 37.40881)
(-122.06986, 37.40881)
(-122.06987, 37.40882)
(-122.06988, 37.40882)
(-122.07011, 37.40891)
(-122.0705, 37.40907)
(-122.07051, 37.40907)
(-122.07052, 37.40907)
(-122.07053, 37.40908)
(-122.07055, 37.40909)
(-122.07057, 37.40909)
(-122.07094, 37.40924)
(-122.07118, 37.40934)
(-122.07195, 37.40965)
(-122.07215, 37.40974)
(-122.07257, 37.40991)
(-122.07363, 37.41034)
(-122.07421, 37.41057)
(-122.07456, 37.41071)
(-122.07553, 37.41109)
(-122.0761, 37.41131)
(-122.07667, 37.41153)
(-122.07723, 37.41174)
(-122.07798, 37.41204)
(-122.078, 37.41205)
(-122.07817, 37.41212)
(-122.07818, 37.41212)
(-122.07841, 37.41221)
(-122.0795, 37.41263)
(-122.07964, 37.41269)
(-122.08038, 37.41299)
(-122.08093, 37.41322)
(-122.08116, 37.41333)
(-122.08134, 37.41342)
(-122.08144, 37.41347)
(-122.08176, 37.41363)
(-122.08204, 37.41377)
(-122.08259, 37.41408)
(-122.08289, 37.41426)
(-122.08316, 37.41442)
(-122.08342, 37.4146)
(-122.08375, 37.41482)
(-122.08385, 37.41488)
(-122.08392, 37.41494)
(-122.08426, 37.41518)
(-122.08457, 37.41541)
(-122.08491, 37.41565)
(-122.08508, 37.41577)
(-122.08527, 37.4159)
(-122.08578, 37.41626)
(-122.0863, 37.41664)
(-122.08701, 37.41715)
(-122.08704, 37.41717)
(-122.08712, 37.41722)
(-122.08731, 37.41736)
(-122.08764, 37.41761)
(-122.08915, 37.4187)
(-122.08992, 37.41926)
(-122.09038, 37.4196)
(-122.09224, 37.42094)
(-122.09261, 37.42121)
(-122.09285, 37.42138)
(-122.09313, 37.42158)
(-122.09361, 37.42193)
(-122.09405, 37.42225)
(-122.09423, 37.42238)
(-122.09439, 37.4225)
(-122.09548, 37.4233)
(-122.09571, 37.42347)
(-122.0962, 37.42383)
(-122.09628, 37.42389)
(-122.09675, 37.42424)
(-122.09696, 37.4244)
(-122.09717, 37.42456)
(-122.09747, 37.4248)
(-122.09782, 37.42509)
(-122.09823, 37.42544)
(-122.09873, 37.42588)
(-122.09897, 37.4261)
(-122.10014, 37.42721)
(-122.10105, 37.42808)
(-122.10142, 37.42843)
(-122.10201, 37.42899)
(-122.10223, 37.4292)
(-122.10264, 37.4296)
(-122.10307, 37.43)
(-122.10354, 37.43045)
(-122.10379, 37.4307)
(-122.10435, 37.43123)
(-122.10445, 37.43133)
